measurement_time,latitude,longitude
45362,47.95261,-81.83368
45363,47.95256,-81.8335
45364,47.95251,-81.83331
45365,47.95246,-81.83313
45366,47.95241,-81.83294
45367,47.95236,-81.83276
45370,47.95218,-81.83221
45371,47.95213,-81.83204
45372,47.95208,-81.83187
45373,47.95203,-81.8317
45374,47.95197,-81.8315
45375,47.95192,-81.83131
45376,47.95187,-81.83113
45377,47.95182,-81.83095
45378,47.95177,-81.83076
45379,47.95172,-81.83057
45380,47.95167,-81.83038
45381,47.95161,-81.83018
45383,47.95154,-81.82977
45384,47.95149,-81.82957
45385,47.95144,-81.82938
45386,47.95139,-81.82915
45387,47.95134,-81.82894
45388,47.95128,-81.82873
45389,47.95126,-81.82851
45390,47.95121,-81.82828
45391,47.95118,-81.82805
45392,47.95116,-81.82783
45393,47.95113,-81.82759
45394,47.9511,-81.82736
45395,47.95108,-81.82713
45401,47.95095,-81.82576
45402,47.95092,-81.82553
45403,47.9509,-81.82532
45404,47.95087,-81.8251
45405,47.95085,-81.82486
45406,47.95082,-81.82464
45407,47.95077,-81.82442
45408,47.95074,-81.8242
45409,47.9507,-81.82397
45410,47.95067,-81.82376
45411,47.95064,-81.82355
45413,47.95057,-81.82313
45414,47.95054,-81.82293
45415,47.95052,-81.82275
45417,47.95046,-81.82236
45418,47.95044,-81.82218
45421,47.95041,-81.82166
45422,47.95039,-81.82151
45423,47.95039,-81.82134
45425,47.95036,-81.82099
45426,47.95036,-81.82082
45427,47.95036,-81.82066
45429,47.95039,-81.82034
45430,47.95039,-81.8202
45431,47.95039,-81.82002
45433,47.95039,-81.81969
45434,47.95039,-81.8195
45435,47.95041,-81.81931
45436,47.95044,-81.81915
45437,47.95046,-81.81901
45438,47.95049,-81.81886
45439,47.95052,-81.81873
45440,47.95054,-81.81861
45441,47.95054,-81.81847
45442,47.95057,-81.8183
45443,47.95059,-81.81813
45445,47.95062,-81.81782
45446,47.95067,-81.81764
45447,47.9507,-81.81749
45448,47.95072,-81.81734
45449,47.95074,-81.81719
45450,47.95077,-81.81703
45451,47.95082,-81.81689
45452,47.95085,-81.81674
45455,47.95098,-81.81629
45456,47.951,-81.81615
45458,47.95108,-81.81585
45459,47.9511,-81.8157
45461,47.95118,-81.81543
45462,47.95121,-81.81529
45463,47.95126,-81.81516
45464,47.95128,-81.81503
45465,47.95131,-81.81488
45466,47.95136,-81.81474
45467,47.95139,-81.81461
45468,47.95141,-81.81447
45469,47.95146,-81.81433
45470,47.95149,-81.81419
45471,47.95152,-81.81405
45472,47.95154,-81.81391
45474,47.95161,-81.81363
45475,47.95164,-81.81349
45476,47.95167,-81.81335
45477,47.95172,-81.81322
45478,47.95174,-81.81307
45479,47.95177,-81.81293
45480,47.95182,-81.8128
45481,47.95185,-81.81264
45484,47.95197,-81.81221
45485,47.952,-81.81207
45486,47.95203,-81.81193
45487,47.95208,-81.81179
45488,47.9521,-81.81167
45491,47.95226,-81.81133
45493,47.95236,-81.81112
45494,47.95241,-81.81101
45495,47.95246,-81.81091
45496,47.95254,-81.8108
45497,47.95259,-81.81068
45498,47.95264,-81.81057
45499,47.95272,-81.81046
45500,47.95277,-81.81036
45501,47.95282,-81.81024
45502,47.95287,-81.81013
45503,47.95292,-81.81004
45504,47.95297,-81.80994
45505,47.95303,-81.80984
45506,47.95305,-81.80975
45508,47.95308,-81.80955
45509,47.95308,-81.80946
45510,47.95308,-81.80936
45512,47.9531,-81.80924
45513,47.95313,-81.80921
45514,47.95318,-81.80918
45515,47.95323,-81.80915
45517,47.95338,-81.80907
45518,47.95346,-81.80902
