packet_num,type,type_name,timestamp,pressure,temperature
6,5,baro,6350000,1004.4000244140625,17.450000762939453
51,5,baro,9290000,1004.469970703125,17.639999389648438
104,5,baro,9500000,1004.4600219726562,17.639999389648438
155,5,baro,9710000,1004.4400024414062,17.639999389648438
208,5,baro,9920000,1004.4299926757812,17.6299991607666
260,5,baro,10200000,1004.5,17.639999389648438
308,5,baro,10340000,1004.47998046875,17.639999389648438
360,5,baro,10620000,1004.4500122070312,17.639999389648438
414,5,baro,10830000,1004.4199829101562,17.639999389648438
466,5,baro,11110000,1004.4199829101562,17.639999389648438
517,5,baro,11320000,1004.47998046875,17.649999618530273
568,5,baro,11530000,1004.530029296875,17.649999618530273
616,5,baro,11740000,1004.4500122070312,17.649999618530273
671,5,baro,11950000,1004.489990234375,17.649999618530273
719,5,baro,12230000,1004.52001953125,17.649999618530273
774,5,baro,12440000,1004.489990234375,17.649999618530273
827,5,baro,12650000,1004.52001953125,17.65999984741211
880,5,baro,12930000,1004.510009765625,17.65999984741211
932,5,baro,13140000,1004.5,17.65999984741211
985,5,baro,13350000,1004.4600219726562,17.65999984741211
1012,5,baro,13490000,1004.4199829101562,17.65999984741211
1060,5,baro,13700000,1004.4199829101562,17.649999618530273
1112,5,baro,13910000,1004.489990234375,17.65999984741211
1163,5,baro,14190000,1004.4600219726562,17.65999984741211
1214,5,baro,14400000,1004.4500122070312,17.65999984741211
1258,5,baro,14610000,1004.47998046875,17.65999984741211
1309,5,baro,14820000,1004.4500122070312,17.65999984741211
1362,5,baro,15030000,1004.4400024414062,17.65999984741211
1414,5,baro,15240000,1004.4400024414062,17.65999984741211
1463,5,baro,15450000,1004.489990234375,17.65999984741211
1515,5,baro,15660000,1004.530029296875,17.65999984741211
1542,5,baro,15800000,1004.4299926757812,17.65999984741211
1594,5,baro,16010000,1004.4299926757812,17.65999984741211
1644,5,baro,16290000,1004.469970703125,17.65999984741211
1699,5,baro,16500000,1004.5,17.65999984741211
1748,5,baro,16710000,1004.510009765625,17.670000076293945
1798,5,baro,16990000,1004.47998046875,17.670000076293945
1852,5,baro,17200000,1004.4500122070312,17.670000076293945
1903,5,baro,17410000,1004.4600219726562,17.670000076293945
1956,5,baro,17620000,1004.510009765625,17.670000076293945
2007,5,baro,17830000,1004.4600219726562,17.670000076293945
2057,5,baro,18040000,1004.52001953125,17.68000030517578
2113,5,baro,18320000,1004.4600219726562,17.68000030517578
2165,5,baro,18530000,1004.489990234375,17.68000030517578
2211,5,baro,18740000,1004.52001953125,17.68000030517578
2265,5,baro,19020000,1004.5399780273438,17.68000030517578
2315,5,baro,19230000,1004.4500122070312,17.68000030517578
2367,5,baro,19440000,1004.47998046875,17.68000030517578
2421,5,baro,19650000,1004.530029296875,17.68000030517578
2448,5,baro,19790000,1004.5599975585938,17.68000030517578
2496,5,baro,20000000,1004.5,17.68000030517578
2549,5,baro,20210000,1004.530029296875,17.690000534057617
2597,5,baro,20420000,1004.5399780273438,17.690000534057617
2649,5,baro,20700000,1004.72998046875,17.719999313354492
2699,5,baro,20910000,1004.77001953125,17.719999313354492
2748,5,baro,21120000,1004.7000122070312,17.719999313354492
