packet_num,type,type_name,timestamp,x,y,z,temperature,status
36,2,mag,8950000,15.450000762939453,4.050000190734863,-55.650001525878906,25.40234375,0
37,2,mag,8980000,15.600000381469727,4.800000190734863,-54.900001525878906,25.40625,0
38,2,mag,9010000,15.299999237060547,4.5,-55.80000305175781,25.3984375,0
39,2,mag,9040000,15.15000057220459,3.5999999046325684,-56.55000305175781,25.39453125,0
40,2,mag,9070000,15.299999237060547,4.349999904632568,-55.04999923706055,25.3984375,0
41,2,mag,9100000,15.15000057220459,4.349999904632568,-55.80000305175781,25.39453125,0
42,2,mag,9130000,14.550000190734863,4.800000190734863,-54.900001525878906,25.37890625,0
43,2,mag,9160000,15.600000381469727,4.5,-55.80000305175781,25.40625,0
44,2,mag,9190000,14.100000381469727,4.349999904632568,-55.5,25.3671875,0
45,2,mag,9220000,14.399999618530273,5.25,-54.45000076293945,25.375,0
73,2,mag,9250000,15.299999237060547,5.25,-55.5,25.3984375,0
74,2,mag,9280000,14.84999942779541,4.800000190734863,-56.400001525878906,25.38671875,0
75,2,mag,9310000,14.100000381469727,4.800000190734863,-56.25,25.3671875,0
76,2,mag,9340000,15.000000953674316,4.5,-55.5,25.390625,0
77,2,mag,9370000,15.15000057220459,5.400000095367432,-55.19999694824219,25.39453125,0
100,2,mag,9400000,14.84999942779541,4.800000190734863,-56.25,25.38671875,0
101,2,mag,9430000,15.000000953674316,4.5,-56.55000305175781,25.390625,0
102,2,mag,9460000,14.25,5.699999809265137,-55.80000305175781,25.37109375,0
103,2,mag,9490000,15.000000953674316,4.800000190734863,-55.650001525878906,25.390625,0
125,2,mag,9520000,15.299999237060547,5.400000095367432,-55.04999923706055,25.3984375,0
126,2,mag,9550000,15.000000953674316,5.099999904632568,-55.349998474121094,25.390625,0
127,2,mag,9580000,15.600000381469727,5.25,-55.94999694824219,25.40625,0
151,2,mag,9610000,14.399999618530273,5.25,-55.80000305175781,25.375,0
152,2,mag,9640000,14.84999942779541,4.800000190734863,-55.04999923706055,25.38671875,0
153,2,mag,9670000,14.550000190734863,4.050000190734863,-56.099998474121094,25.37890625,0
154,2,mag,9700000,14.84999942779541,5.099999904632568,-55.5,25.38671875,0
176,2,mag,9730000,15.000000953674316,4.349999904632568,-55.94999694824219,25.390625,0
177,2,mag,9760000,14.100000381469727,5.25,-55.04999923706055,25.3671875,0
178,2,mag,9790000,15.15000057220459,5.25,-55.80000305175781,25.39453125,0
179,2,mag,9820000,15.450000762939453,4.800000190734863,-55.349998474121094,25.40234375,0
204,2,mag,9850000,15.000000953674316,5.400000095367432,-55.94999694824219,25.390625,0
205,2,mag,9880000,14.699999809265137,4.650000095367432,-55.5,25.3828125,0
206,2,mag,9910000,14.84999942779541,4.800000190734863,-55.04999923706055,25.38671875,0
207,2,mag,9940000,14.84999942779541,4.650000095367432,-56.400001525878906,25.38671875,0
229,2,mag,9970000,14.25,4.949999809265137,-55.19999694824219,25.37109375,0
230,2,mag,10000000,15.000000953674316,4.349999904632568,-55.650001525878906,25.390625,0
231,2,mag,10030000,14.699999809265137,4.5,-56.25,25.3828125,0
232,2,mag,10060000,14.550000190734863,4.5,-55.80000305175781,25.37890625,0
256,2,mag,10090000,14.84999942779541,5.400000095367432,-56.400001525878906,25.38671875,0
257,2,mag,10120000,14.399999618530273,4.050000190734863,-54.900001525878906,25.375,0
258,2,mag,10150000,15.600000381469727,4.800000190734863,-55.80000305175781,25.40625,0
259,2,mag,10180000,15.450000762939453,3.5999999046325684,-55.19999694824219,25.40234375,0
302,2,mag,10210000,14.25,4.349999904632568,-55.650001525878906,25.37109375,0
303,2,mag,10240000,15.600000381469727,4.5,-56.25,25.40625,0
304,2,mag,10270000,14.550000190734863,4.800000190734863,-55.650001525878906,25.37890625,0
305,2,mag,10300000,14.84999942779541,4.650000095367432,-55.94999694824219,25.38671875,0
306,2,mag,10330000,14.699999809265137,4.349999904632568,-55.650001525878906,25.3828125,0
307,2,mag,10360000,14.550000190734863,4.199999809265137,-55.19999694824219,25.37890625,0
329,2,mag,10390000,14.399999618530273,4.650000095367432,-55.80000305175781,25.375,0
330,2,mag,10420000,15.15000057220459,4.800000190734863,-55.349998474121094,25.39453125,0
331,2,mag,10450000,14.25,4.800000190734863,-55.80000305175781,25.3671875,0
332,2,mag,10480000,14.100000381469727,4.349999904632568,-56.25,25.3671875,0
333,2,mag,10510000,15.15000057220459,4.349999904632568,-55.650001525878906,25.39453125,0
