measurement_time,altitude
2194.64,85923
2194.71,86439
2194.78,85837
2194.85,85837
2194.92,85923
2195.55,86095
2195.62,85234
2195.69,85234
2195.76,86095
2195.83,86095
2195.9,86095
2195.97,85923
2196.04,86784
2196.67,86267
2196.74,85406
2196.81,85151
2196.88,86095
2196.95,85753
2197.02,86008
2197.09,85750
2197.16,85750
2197.23,86008
2197.86,84978
2197.93,85409
2198.0,85839
2198.07,85923
2198.14,86439
2198.21,86184
2198.28,85320
2198.35,85923
2201.22,87042
2201.29,87297
2201.36,88330
2201.43,88672
2201.5,88155
2201.57,88069
2201.64,88497
2201.71,88497
2247.14,85704
2247.21,85099
2247.28,85099
2247.35,85959
2247.42,85443
2247.49,85787
2247.56,85787
2247.63,86131
2248.26,85873
2248.33,85356
2248.4,85185
2248.47,85959
2248.54,85615
2248.61,86300
2248.68,86128
2248.75,86558
