measurement_time,x_axis,y_axis,z_axis
2155.7,-2,7,-3
2155.74,-2,6,-3
2155.78,-2,7,-3
2155.83,-2,7,-3
2155.87,-2,7,-3
2155.91,-2,7,-3
2156.67,-2,7,-3
2156.71,-2,7,-3
2156.76,-2,8,-3
2156.8,-2,7,-3
2156.84,-2,7,-3
2156.89,-2,7,-3
2156.93,-2,7,-3
2156.97,-2,7,-3
2157.02,-2,7,-3
2157.06,-2,7,-3
2157.82,-2,7,-3
2157.86,-2,7,-3
2157.9,-2,7,-3
2157.95,-2,7,-3
2157.99,-2,7,-3
2158.03,-3,7,-3
2158.08,-2,7,-3
2158.12,-2,7,-3
2158.16,-2,7,-3
2158.2,-3,7,-3
2158.94,-2,7,-3
2158.98,-2,7,-3
2159.03,-2,7,-3
2159.07,-2,7,-3
2159.12,-2,7,-3
2159.16,-2,7,-3
2159.2,-2,7,-3
2159.24,-2,7,-3
2159.28,-2,7,-3
2159.32,-2,7,-3
2160.07,-2,7,-3
2160.11,-2,7,-3
2160.15,-2,7,-3
2160.2,-2,7,-3
2160.24,-2,7,-3
2160.28,-2,7,-3
2160.32,-2,7,-3
2160.36,-2,7,-3
2160.4,-2,7,-3
2160.45,-2,7,-3
2161.19,-2,7,-3
2161.24,-2,7,-3
2161.28,-2,7,-3
2161.32,-2,7,-3
2161.36,-2,7,-3
2161.4,-2,7,-3
2161.44,-2,7,-3
2161.49,-2,7,-3
2161.53,-2,7,-3
2161.57,-2,7,-3
2162.33,-2,7,-3
2162.37,-2,7,-3
2162.41,-2,7,-3
2162.45,-2,7,-3
2162.49,-2,7,-3
2162.53,-2,7,-3
2162.58,-2,7,-3
2162.62,-2,7,-3
2162.66,-2,7,-3
2162.7,-2,7,-3
2163.46,-2,7,-3
2163.5,-2,7,-3
2163.54,-2,7,-3
2163.58,-2,8,-3
2163.63,-2,7,-3
2163.67,-2,7,-3
2163.71,-2,7,-3
2163.75,-2,7,-3
2163.8,-2,7,-3
2163.84,-2,7,-3
2164.6,-2,7,-3
2164.64,-2,7,-3
2164.69,-2,7,-3
2164.73,-2,7,-3
2164.77,-2,7,-3
2164.81,-2,7,-3
2164.86,-2,7,-3
2164.9,-2,7,-3
2164.95,-2,7,-3
2164.99,-2,7,-3
2174.07,-2,7,-3
2174.12,-2,7,-3
2174.17,-2,7,-3
2174.23,-2,7,-3
2174.28,-2,7,-3
2174.33,-2,7,-3
2174.38,-2,7,-3
2174.44,-2,7,-3
2174.5,-2,7,-3
2174.55,-2,7,-3
2175.55,-2,7,-3
2175.59,-2,7,-3
2175.63,-2,7,-2
2175.67,-2,7,-3
2175.71,-2,7,-3
2175.75,-2,7,-3
2175.8,-2,7,-3
2175.84,-2,7,-3
2176.34,-3,7,-3
2176.37,-2,7,-3
2176.4,-2,7,-3
2176.43,-2,7,-3
2176.46,-2,7,-3
2176.49,-2,7,-3
2176.53,-2,7,-3
2176.56,-2,7,-3
2176.6,-2,7,-3
2176.63,-3,7,-3
2177.47,-2,7,-3
2177.51,-2,7,-3
2177.55,-3,7,-3
2177.6,-2,7,-3
2177.65,-2,7,-3
2177.69,-2,7,-3
2177.73,-2,7,-3
2177.77,-2,7,-3
2177.81,-2,7,-3
2177.85,-2,7,-3
2178.61,-2,7,-3
2178.66,-2,7,-3
2178.71,-2,7,-3
2178.75,-2,7,-3
2178.79,-2,7,-3
2178.83,-2,7,-3
2178.87,-2,7,-3
2178.91,-2,7,-3
2178.96,-2,7,-3
2179.0,-2,6,-3
2180.31,-2,7,-3
2180.35,-2,7,-3
2180.39,-2,7,-3
2180.43,-2,7,-3
2180.47,-2,7,-2
2180.51,-2,7,-3
2180.56,-2,7,-3
2180.6,-2,7,-3
2180.64,-2,7,-3
2180.68,-3,7,-3
2181.43,-3,7,-3
2181.47,-3,7,-4
2181.51,-2,8,-3
2181.55,-2,7,-3
2181.59,-2,7,-3
2181.64,-2,7,-3
2181.68,-3,7,-3
2181.72,-3,7,-3
