packet_num,type,type_name,timestamp,x,y,z,temperature
3,1,gyro,6340000,0.15760323405265808,-0.13805554807186127,0.16982053220272064,23.0
4,1,gyro,6350000,-0.28099802136421204,0.3579670190811157,-0.09896016865968704,23.0
11,1,gyro,6360000,-0.15760323405265808,0.3286454975605011,0.00733038317412138,23.0
12,1,gyro,6370000,-0.02687807008624077,0.06230825558304787,-0.009773843921720982,23.0
14,1,gyro,6380000,0.0012217304902151227,0.024434609338641167,-0.012217304669320583,23.0
26,1,gyro,9090000,-0.00366519158706069,0.010995574295520782,-0.00733038317412138,24.0
27,1,gyro,9100000,-0.00366519158706069,0.009773843921720982,-0.00733038317412138,24.0
28,1,gyro,9110000,-0.0024434609804302454,0.009773843921720982,-0.00733038317412138,24.0
29,1,gyro,9120000,-0.00366519158706069,0.009773843921720982,-0.006108652334660292,24.0
30,1,gyro,9130000,-0.0024434609804302454,0.009773843921720982,-0.00733038317412138,24.0
31,1,gyro,9140000,-0.00366519158706069,0.009773843921720982,-0.006108652334660292,24.0
32,1,gyro,9150000,-0.0024434609804302454,0.009773843921720982,-0.006108652334660292,24.0
33,1,gyro,9160000,-0.00366519158706069,0.010995574295520782,-0.006108652334660292,24.0
34,1,gyro,9170000,-0.0024434609804302454,0.009773843921720982,-0.00733038317412138,24.0
35,1,gyro,9180000,-0.00366519158706069,0.010995574295520782,-0.006108652334660292,24.0
63,1,gyro,9230000,-0.00366519158706069,0.009773843921720982,-0.00733038317412138,24.0
64,1,gyro,9240000,-0.0024434609804302454,0.009773843921720982,-0.006108652334660292,24.0
65,1,gyro,9250000,-0.00366519158706069,0.010995574295520782,-0.006108652334660292,24.0
66,1,gyro,9260000,-0.00366519158706069,0.010995574295520782,-0.006108652334660292,24.0
67,1,gyro,9270000,-0.00366519158706069,0.010995574295520782,-0.00733038317412138,24.0
68,1,gyro,9280000,-0.0024434609804302454,0.010995574295520782,-0.006108652334660292,24.0
69,1,gyro,9290000,-0.00366519158706069,0.010995574295520782,-0.006108652334660292,24.0
70,1,gyro,9300000,-0.0024434609804302454,0.009773843921720982,-0.006108652334660292,24.0
71,1,gyro,9310000,-0.00366519158706069,0.010995574295520782,-0.00733038317412138,24.0
72,1,gyro,9330000,-0.0024434609804302454,0.009773843921720982,-0.00733038317412138,24.0
90,1,gyro,9360000,-0.0024434609804302454,0.010995574295520782,-0.00733038317412138,24.0
91,1,gyro,9370000,-0.0024434609804302454,0.009773843921720982,-0.006108652334660292,24.0
92,1,gyro,9380000,-0.0024434609804302454,0.010995574295520782,-0.006108652334660292,24.0
93,1,gyro,9390000,-0.00366519158706069,0.009773843921720982,-0.006108652334660292,24.0
94,1,gyro,9400000,-0.0024434609804302454,0.010995574295520782,-0.006108652334660292,24.0
95,1,gyro,9410000,-0.004886921960860491,0.010995574295520782,-0.00733038317412138,24.0
96,1,gyro,9420000,-0.0024434609804302454,0.009773843921720982,-0.00733038317412138,24.0
97,1,gyro,9430000,-0.004886921960860491,0.010995574295520782,-0.00733038317412138,24.0
98,1,gyro,9440000,-0.0024434609804302454,0.009773843921720982,-0.00733038317412138,24.0
99,1,gyro,9450000,-0.00366519158706069,0.009773843921720982,-0.00733038317412138,24.0
115,1,gyro,9470000,-0.00366519158706069,0.010995574295520782,-0.00733038317412138,24.0
116,1,gyro,9480000,0.019547687843441963,0.004886921960860491,-0.00855211354792118,24.0
117,1,gyro,9490000,0.0354301854968071,-0.0024434609804302454,-0.00733038317412138,24.0
118,1,gyro,9500000,0.028099801391363144,-0.00733038317412138,-0.004886921960860491,24.0
119,1,gyro,9510000,0.015882495790719986,-0.00855211354792118,-0.00366519158706069,24.0
120,1,gyro,9520000,0.0012217304902151227,-0.006108652334660292,-0.0024434609804302454,24.0
121,1,gyro,9530000,-0.01466076634824276,-0.0012217304902151227,-0.0012217304902151227,24.0
