packet_num,type,type_name,timestamp,altitude
5,4,alt,6350000,74.58335876464844
46,4,alt,8940000,74.62700653076172
47,4,alt,9010000,74.54531860351562
48,4,alt,9080000,74.46053314208984
49,4,alt,9150000,74.54531860351562
50,4,alt,9220000,74.46053314208984
78,4,alt,9290000,74.03971862792969
79,4,alt,9360000,73.952392578125
128,4,alt,9430000,73.78538513183594
129,4,alt,9500000,74.12397766113281
130,4,alt,9570000,73.78538513183594
180,4,alt,9640000,74.03971862792969
181,4,alt,9710000,74.29353332519531
182,4,alt,9780000,74.3783187866211
183,4,alt,9850000,74.29097747802734
233,4,alt,9920000,74.3757553100586
234,4,alt,9990000,74.12397766113281
235,4,alt,10060000,74.79914093017578
281,4,alt,10130000,73.53105926513672
282,4,alt,10200000,73.78538513183594
283,4,alt,10270000,74.3783187866211
334,4,alt,10340000,73.95494079589844
335,4,alt,10410000,73.78791809082031
336,4,alt,10480000,74.03971862792969
385,4,alt,10550000,73.61836242675781
386,4,alt,10620000,74.20875549316406
387,4,alt,10690000,74.54788208007812
388,4,alt,10760000,74.80171966552734
438,4,alt,10830000,74.46309661865234
439,4,alt,10900000,74.03971862792969
440,4,alt,10970000,74.80171966552734
492,4,alt,11040000,74.3783187866211
493,4,alt,11110000,74.46309661865234
494,4,alt,11180000,74.55044555664062
515,4,alt,11250000,73.95747375488281
516,4,alt,11320000,73.95747375488281
565,4,alt,11390000,73.70314025878906
566,4,alt,11460000,73.61836242675781
567,4,alt,11530000,73.53358459472656
613,4,alt,11600000,73.95747375488281
614,4,alt,11670000,73.78791809082031
615,4,alt,11740000,74.2113037109375
668,4,alt,11810000,74.0422592163086
669,4,alt,11880000,74.63471221923828
670,4,alt,11950000,73.87269592285156
716,4,alt,12020000,74.2113037109375
717,4,alt,12090000,74.38087463378906
718,4,alt,12160000,74.2113037109375
747,4,alt,12230000,73.61836242675781
748,4,alt,12300000,73.61836242675781
795,4,alt,12370000,73.70314025878906
796,4,alt,12440000,73.87269592285156
797,4,alt,12510000,74.04480743408203
825,4,alt,12580000,73.70568084716797
826,4,alt,12650000,73.62089538574219
