packet_num,type,type_name,timestamp,x,y,z,temperature
1,0,accel,6340000,-2.306692600250244,-3.110685110092163,150.11688232421875,23.0
2,0,accel,6350000,-0.16271276772022247,-0.2775688171386719,9.801051139831543,23.0
9,0,accel,6360000,-0.15314142405986786,-0.26799750328063965,9.820194244384766,23.0
10,0,accel,6370000,-0.19142678380012512,-0.2871401607990265,9.801051139831543,23.0
13,0,accel,6380000,-0.1722840964794159,-0.2871401607990265,9.724480628967285,23.0
15,0,accel,6390000,-0.1722840964794159,-0.2967115044593811,9.820194244384766,23.0
16,0,accel,9060000,-0.1818554401397705,-0.26799750328063965,9.896764755249023,24.0
17,0,accel,9070000,-0.21056945621967316,-0.24885481595993042,9.8776216506958,24.0
18,0,accel,9080000,-0.1818554401397705,-0.2967115044593811,9.896764755249023,24.0
19,0,accel,9090000,-0.16271276772022247,-0.2871401607990265,9.896764755249023,24.0
20,0,accel,9100000,-0.15314142405986786,-0.24885481595993042,9.906335830688477,24.0
21,0,accel,9110000,-0.1722840964794159,-0.26799750328063965,9.887192726135254,24.0
22,0,accel,9120000,-0.16271276772022247,-0.2967115044593811,9.868050575256348,24.0
23,0,accel,9130000,-0.1722840964794159,-0.25842615962028503,9.8776216506958,24.0
24,0,accel,9140000,-0.1722840964794159,-0.26799750328063965,9.887192726135254,24.0
25,0,accel,9150000,-0.14357008039951324,-0.26799750328063965,9.8776216506958,24.0
53,0,accel,9200000,-0.1722840964794159,-0.25842615962028503,9.887192726135254,24.0
54,0,accel,9210000,-0.13399875164031982,-0.2775688171386719,9.91590690612793,24.0
55,0,accel,9220000,-0.1722840964794159,-0.2967115044593811,9.887192726135254,24.0
56,0,accel,9230000,-0.1818554401397705,-0.2871401607990265,9.887192726135254,24.0
57,0,accel,9240000,-0.1722840964794159,-0.2967115044593811,9.887192726135254,24.0
58,0,accel,9250000,-0.1722840964794159,-0.2775688171386719,9.8776216506958,24.0
59,0,accel,9260000,-0.16271276772022247,-0.2967115044593811,9.906335830688477,24.0
60,0,accel,9270000,-0.1722840964794159,-0.26799750328063965,9.887192726135254,24.0
61,0,accel,9280000,-0.15314142405986786,-0.2775688171386719,9.896764755249023,24.0
62,0,accel,9290000,-0.15314142405986786,-0.2775688171386719,9.887192726135254,24.0
80,0,accel,9310000,-0.15314142405986786,-0.2967115044593811,9.906335830688477,24.0
81,0,accel,9320000,-0.15314142405986786,-0.25842615962028503,9.887192726135254,24.0
82,0,accel,9330000,-0.1722840964794159,-0.26799750328063965,9.887192726135254,24.0
83,0,accel,9350000,-0.16271276772022247,-0.26799750328063965,9.8776216506958,24.0
84,0,accel,9360000,-0.13399875164031982,-0.2871401607990265,9.868050575256348,24.0
85,0,accel,9370000,-0.15314142405986786,-0.2775688171386719,9.906335830688477,24.0
86,0,accel,9380000,-0.15314142405986786,-0.25842615962028503,9.887192726135254,24.0
87,0,accel,9390000,-0.1722840964794159,-0.2871401607990265,9.8776216506958,24.0
88,0,accel,9400000,-0.15314142405986786,-0.2775688171386719,9.906335830688477,24.0
89,0,accel,9410000,-0.14357008039951324,-0.2871401607990265,9.906335830688477,24.0
105,0,accel,9420000,-0.15314142405986786,-0.26799750328063965,9.906335830688477,24.0
106,0,accel,9430000,-0.1722840964794159,-0.2775688171386719,9.887192726135254,24.0
107,0,accel,9440000,-0.1818554401397705,-0.2392834722995758,9.906335830688477,24.0
108,0,accel,9450000,-0.16271276772022247,-0.26799750328063965,9.906335830688477,24.0
109,0,accel,9460000,-0.15314142405986786,-0.25842615962028503,9.896764755249023,24.0
110,0,accel,9470000,-0.15314142405986786,-0.2967115044593811,9.91590690612793,24.0
111,0,accel,9480000,-0.14357008039951324,-0.26799750328063965,9.944621086120605,24.0
112,0,accel,9490000,-0.13399875164031982,-0.2871401607990265,9.9254789352417,24.0
113,0,accel,9500000,-0.10528472810983658,-0.2775688171386719,9.935050010681152,24.0
114,0,accel,9510000,-0.14357008039951324,-0.25842615962028503,9.935050010681152,24.0
131,0,accel,9530000,-0.15314142405986786,-0.2871401607990265,9.973335266113281,24.0
132,0,accel,9540000,-0.1818554401397705,-0.25842615962028503,9.963764190673828,24.0
133,0,accel,9550000,-0.1722840964794159,-0.25842615962028503,9.982906341552734,24.0
134,0,accel,9560000,-0.16271276772022247,-0.26799750328063965,9.992478370666504,24.0
135,0,accel,9570000,-0.20099811255931854,-0.26799750328063965,9.973335266113281,24.0
136,0,accel,9580000,-0.19142678380012512,-0.26799750328063965,9.944621086120605,24.0
137,0,accel,9590000,-0.19142678380012512,-0.24885481595993042,9.9254789352417,24.0
138,0,accel,9600000,-0.13399875164031982,-0.31585419178009033,9.91590690612793,24.0
139,0,accel,9610000,-0.19142678380012512,-0.2871401607990265,9.906335830688477,24.0
140,0,accel,9620000,-0.14357008039951324,-0.25842615962028503,9.9254789352417,24.0
156,0,accel,9640000,-0.15314142405986786,-0.2775688171386719,9.868050575256348,24.0
157,0,accel,9650000,-0.15314142405986786,-0.25842615962028503,9.906335830688477,24.0
158,0,accel,9660000,-0.14357008039951324,-0.26799750328063965,9.91590690612793,24.0
159,0,accel,9670000,-0.21056945621967316,-0.2871401607990265,9.887192726135254,24.0
160,0,accel,9680000,-0.20099811255931854,-0.2871401607990265,9.868050575256348,24.0
161,0,accel,9690000,-0.1818554401397705,-0.26799750328063965,9.858479499816895,24.0
162,0,accel,9700000,-0.1722840964794159,-0.2967115044593811,9.868050575256348,24.0
163,0,accel,9710000,-0.1722840964794159,-0.2775688171386719,9.858479499816895,24.0
164,0,accel,9720000,-0.1722840964794159,-0.2775688171386719,9.858479499816895,24.0
165,0,accel,9730000,-0.1722840964794159,-0.26799750328063965,9.858479499816895,24.0
184,0,accel,9770000,-0.16271276772022247,-0.2967115044593811,9.848907470703125,24.0
185,0,accel,9780000,-0.15314142405986786,-0.25842615962028503,9.848907470703125,24.0
186,0,accel,9790000,-0.14357008039951324,-0.26799750328063965,9.848907470703125,24.0
187,0,accel,9800000,-0.14357008039951324,-0.26799750328063965,9.820194244384766,24.0
188,0,accel,9810000,-0.16271276772022247,-0.2775688171386719,9.829765319824219,24.0
189,0,accel,9820000,-0.14357008039951324,-0.2871401607990265,9.858479499816895,24.0
190,0,accel,9830000,-0.1722840964794159,-0.26799750328063965,9.868050575256348,24.0
191,0,accel,9840000,-0.15314142405986786,-0.2871401607990265,9.848907470703125,24.0
192,0,accel,9850000,-0.1818554401397705,-0.26799750328063965,9.858479499816895,24.0
193,0,accel,9860000,-0.13399875164031982,-0.2297121286392212,9.858479499816895,24.0
209,0,accel,9880000,-0.12442740797996521,-0.2775688171386719,9.896764755249023,24.0
210,0,accel,9890000,-0.1148560643196106,-0.2297121286392212,9.896764755249023,24.0
211,0,accel,9900000,-0.12442740797996521,-0.2775688171386719,9.868050575256348,24.0
212,0,accel,9910000,-0.13399875164031982,-0.24885481595993042,9.8776216506958,24.0
213,0,accel,9920000,-0.14357008039951324,-0.2775688171386719,9.887192726135254,24.0
214,0,accel,9930000,-0.15314142405986786,-0.26799750328063965,9.935050010681152,24.0
215,0,accel,9940000,-0.14357008039951324,-0.2775688171386719,9.91590690612793,24.0
216,0,accel,9950000,-0.14357008039951324,-0.24885481595993042,9.9254789352417,24.0
217,0,accel,9960000,-0.15314142405986786,-0.2775688171386719,9.944621086120605,24.0
218,0,accel,9970000,-0.14357008039951324,-0.2775688171386719,9.935050010681152,24.0
236,0,accel,10000000,-0.1148560643196106,-0.25842615962028503,9.9254789352417,24.0
237,0,accel,10010000,-0.15314142405986786,-0.25842615962028503,9.963764190673828,24.0
238,0,accel,10020000,-0.16271276772022247,-0.26799750328063965,9.954192161560059,24.0
239,0,accel,10030000,-0.15314142405986786,-0.2775688171386719,9.944621086120605,24.0
240,0,accel,10040000,-0.14357008039951324,-0.26799750328063965,9.954192161560059,24.0
241,0,accel,10050000,-0.1722840964794159,-0.2967115044593811,9.954192161560059,24.0
242,0,accel,10060000,-0.1722840964794159,-0.2871401607990265,9.944621086120605,24.0
243,0,accel,10070000,-0.15314142405986786,-0.2967115044593811,9.935050010681152,24.0
244,0,accel,10080000,-0.16271276772022247,-0.2871401607990265,9.935050010681152,24.0
245,0,accel,10090000,-0.16271276772022247,-0.2871401607990265,9.91590690612793,24.0
261,0,accel,10110000,-0.20099811255931854,-0.2775688171386719,9.887192726135254,24.0
262,0,accel,10120000,-0.16271276772022247,-0.2967115044593811,9.896764755249023,24.0
263,0,accel,10130000,-0.16271276772022247,-0.2871401607990265,9.8776216506958,24.0
264,0,accel,10140000,-0.16271276772022247,-0.26799750328063965,9.906335830688477,24.0
265,0,accel,10150000,-0.1818554401397705,-0.3062828481197357,9.896764755249023,24.0
266,0,accel,10160000,-0.1818554401397705,-0.2871401607990265,9.8776216506958,24.0
267,0,accel,10170000,-0.21056945621967316,-0.2871401607990265,9.896764755249023,24.0
268,0,accel,10180000,-0.20099811255931854,-0.2871401607990265,9.8776216506958,24.0
269,0,accel,10190000,-0.14357008039951324,-0.26799750328063965,9.906335830688477,24.0
270,0,accel,10200000,-0.14357008039951324,-0.2871401607990265,9.887192726135254,24.0
284,0,accel,10210000,-0.15314142405986786,-0.2775688171386719,9.906335830688477,24.0
285,0,accel,10220000,-0.16271276772022247,-0.2775688171386719,9.906335830688477,24.0
286,0,accel,10230000,-0.16271276772022247,-0.2775688171386719,9.8776216506958,24.0
287,0,accel,10240000,-0.12442740797996521,-0.26799750328063965,9.896764755249023,24.0
288,0,accel,10250000,-0.16271276772022247,-0.2871401607990265,9.887192726135254,24.0
289,0,accel,10260000,-0.1722840964794159,-0.2871401607990265,9.906335830688477,24.0
290,0,accel,10270000,-0.14357008039951324,-0.2967115044593811,9.896764755249023,24.0
291,0,accel,10280000,-0.1722840964794159,-0.2967115044593811,9.91590690612793,24.0
292,0,accel,10290000,-0.1722840964794159,-0.2392834722995758,9.896764755249023,24.0
309,0,accel,10310000,-0.16271276772022247,-0.2967115044593811,9.887192726135254,24.0
310,0,accel,10320000,-0.14357008039951324,-0.2297121286392212,9.8776216506958,24.0
311,0,accel,10330000,-0.1722840964794159,-0.25842615962028503,9.8776216506958,24.0
312,0,accel,10340000,-0.1722840964794159,-0.2775688171386719,9.858479499816895,24.0
